RN,CC AB,STD AB,F1,M,B1,B2,B3,Mo,Bi,Ti,BiC A,STD A,BiC B,STD B,inA,OutA,inB,OutB,Mean Connectivity,Order,BiSt,MoSt,B:M,inTS,InABR,BCABR
RN001,-0.685252203453255,0.0057598914658703,0.7776086354829781,0.8237655185288901,0.8007220216606499,0.0,0.19927797833935018,21426,2770,57808,0.5466067672386951,0.0083466938202013,0.3878435559187729,0.0058084548081178,2,2,2,3,E:2N,5N,0.11163680289913429,0.8883631971008658,0.9720266309405714,4,0.0,0.49502848994688364
RN002,-0.803532941103987,0.0043494722596052,0.8167612805056476,0.8667845564397288,0.7916355489171023,0.0,0.2083644510828977,20358,4017,68348,0.4843704663388409,0.0052157951003972,0.7645620185427929,0.0042893306636756,2,2,1,2,E:2N,5N,0.15269374819936618,0.8473062518006338,0.9133014000257491,3,1.0,-0.6585226307564588
RN003,-0.556163251687345,0.0167779235196747,0.7103842384171969,0.6960679586957628,0.7905337361530715,0.0,0.2094662638469285,19659,1986,60197,0.4261708197217269,0.0039685649885021,0.4068226863653457,0.0055175926811809,2,3,2,2,E:2N,5N,0.10292382325947293,0.8970761767405271,1.13571344044382,4,0.0,0.06703168097981241
RN004,-0.810982766039666,0.0040457321473058,0.8484777517564402,0.8260131258892102,0.7971510998918139,0.0,0.20284890010818607,21789,5546,42700,0.7973046992231213,0.0034413473628162,0.5112317689119735,0.0025104429344756,1,2,2,3,E:2N,5N,0.19719880458539632,0.8028011954146037,0.9650586351562803,3,-1.0,0.6411536813316479
RN005,-0.8166921272949373,0.0020317271796813,0.8976734656710982,0.9180218446601942,0.7803859787317842,0.0,0.21961402126821583,16480,12695,43928,0.7448476824735994,0.0050270206208081,0.4638913726914969,0.002360514629716,2,2,5,2,E:2N,5N,0.3957101773446237,0.6042898226553762,0.8500734304646574,7,-1.3219280948873622,0.683158416367872
RN006,-0.4966894618988708,0.0013922399742764,0.678311611526696,0.7373653686826843,0.642692750287687,0.0,0.357307249712313,22933,1738,77802,0.4731849777576115,0.003183554600321,0.3578477303722485,0.0071059189778545,2,2,3,2,E:2N,5N,0.06196261163809841,0.9380373883619016,0.8716069096598182,5,-0.5849625007211563,0.4030584435696906
RN007,-0.5433589788672527,0.0134535343340746,0.7128164428823635,0.7543385280959638,0.5532463071109585,0.0012023359670216421,0.4455513569220199,20341,5822,61741,0.3477725894608858,0.0038970781804472,0.4797502512576117,0.0052884691791228,3,2,3,2,E:2N,5N,0.17349851871801777,0.8265014812819822,0.7334191301449431,6,0.0,-0.46413933437670407
RN008,-0.7178962452856091,0.0038073709393725,0.7666960021929509,0.8532356963253783,0.7500798977309044,0.0,0.24992010226909556,22669,3129,69313,0.4482205962277397,0.004218438314727,0.6897329353480042,0.0061118437717438,3,2,1,2,E:2N,5N,0.1082115358015584,0.8917884641984416,0.8791004653945751,4,1.584962500721156,-0.6218289145758951
RN009,-0.832596818875095,0.0013650242643575,0.8686236648498032,0.8211920529801324,0.9472431574771916,0.0,0.052756842522808406,20687,5042,40913,0.7734961609072474,0.0051812782703596,0.8118458433133511,0.0061514239939302,1,3,1,3,E:2N,5N,0.2194449549715126,0.7805550450284874,1.1534977159601285,2,0.0,-0.0698116772782415
RN010,-0.7340720243587154,0.0009533916289448,0.7599600488292088,0.8090155945419103,0.5544554455445545,0.0,0.44554455445544555,20520,5050,54066,0.3865319735366022,0.0037486067415777,0.6542819986050675,0.0011152088529936,4,2,1,2,E:2N,5N,0.14432245760527806,0.8556775423947219,0.6853458070341701,5,2.0,-0.759324820710204
RN011,-0.7964800945955984,0.0037690175203088,0.849925194751595,0.8862050130484919,0.760272031737036,0.0,0.23972796826296403,16477,10587,58151,0.4576668607847707,0.0009068213741282,0.7506080145722295,0.0013605028221375,3,2,2,2,E:2N,5N,0.35534854973290364,0.6446514502670964,0.8578963338536598,5,0.5849625007211562,-0.7137618630308629
RN012,-0.443013448426697,0.0049151523021697,0.6627827827827828,0.669890915288904,0.392993145468393,0.0,0.607006854531607,23468,2626,49950,0.3690735928170911,0.0050470620861955,0.418622909114237,0.0008471752354203,2,3,3,2,E:2N,5N,0.06160090730018504,0.9383990926998149,0.5866524481809202,5,-0.5849625007211563,-0.18174274858212333
RN013,-0.8504534578002282,0.0034767371127674,0.8886455909858126,0.9048849224988258,0.8298004022899582,0.0,0.17019959771004178,21290,6463,43842,0.4937402942260114,0.0057331171691298,0.8168694151137101,0.0039376297359901,4,2,1,2,E:2N,5N,0.21776027286015917,0.7822397271398408,0.9170231281989727,5,2.0,-0.7263530788625265
