RN,PEdges,NEdges
RN001,6,6
RN002,4,8
RN003,6,6
RN004,7,5
RN005,7,5
RN006,3,9
RN007,3,9
RN008,4,8
RN009,6,6
RN010,5,7
RN011,6,6
RN012,6,6
RN013,5,7
RN014,4,8
RN015,5,7
RN016,3,9
RN017,6,6
RN018,3,9
RN019,5,7
RN020,7,5
RN021,2,10
RN022,5,7
RN023,5,7
RN024,4,8
RN025,5,7
RN026,6,6
RN027,7,5
RN028,5,7
RN029,5,7
RN030,4,8
RN031,4,8
RN032,5,7
RN033,4,8
RN034,6,6
RN035,5,7
RN036,6,6
RN037,2,10
RN038,6,6
RN039,6,6
RN040,8,4
RN041,6,6
RN042,4,8
RN043,4,8
RN044,4,8
RN045,6,6
RN046,7,5
RN047,8,4
RN048,4,8
RN049,6,6
RN050,8,4
RN051,5,7
RN052,3,9
RN053,6,6
RN054,5,7
RN055,7,5
RN056,4,8
RN057,4,8
RN058,8,4
RN059,7,5
RN060,5,7
RN061,6,6
RN062,4,8
RN063,6,6
RN064,5,7
RN065,8,4
RN066,4,8
RN067,7,5
RN068,5,7
RN069,5,7
RN070,5,7
RN071,5,7
RN072,5,7
RN073,4,8
RN074,6,6
RN075,3,9
RN076,5,7
RN077,5,7
RN078,9,3
RN079,5,7
RN080,6,6
RN081,3,9
RN082,4,8
RN083,7,5
RN084,7,5
RN085,7,5
RN086,5,7
RN087,5,7
RN088,5,7
RN089,2,10
RN090,5,7
RN091,3,9
RN092,6,6
RN093,8,4
RN094,3,9
RN095,8,4
RN096,6,6
RN097,5,7
RN098,6,6
RN099,7,5
RN100,6,6
RN001,15,7
RN002,6,16
RN003,14,8
RN004,9,13
RN005,9,13
RN006,8,14
RN007,13,9
RN008,6,16
RN009,9,13
RN010,6,16
RN011,9,13
RN012,10,12
RN013,12,10
RN014,12,10
RN015,6,16
RN016,11,11
RN017,9,13
RN018,12,10
RN019,10,12
RN020,8,14
RN021,11,11
RN022,8,14
RN023,11,11
RN024,12,10
RN025,7,15
RN026,9,13
RN027,12,10
RN028,16,6
RN029,10,12
RN030,11,11
RN031,12,10
RN032,8,14
RN033,10,12
RN034,15,7
RN035,10,12
RN036,8,14
RN037,13,9
RN038,12,10
RN039,10,12
RN040,9,13
RN041,15,7
RN042,8,14
RN043,13,9
RN044,10,12
RN045,12,10
RN046,8,14
RN047,11,11
RN048,8,14
RN049,11,11
RN050,8,14
RN051,12,10
RN052,12,10
RN053,8,14
RN054,13,9
RN055,13,9
RN056,7,15
RN057,9,13
RN058,12,10
RN059,7,15
RN060,13,9
RN061,10,12
RN062,8,14
RN063,9,13
RN064,6,16
RN065,13,9
RN066,9,13
RN067,9,13
RN068,12,10
RN069,10,12
RN070,10,12
RN071,9,13
RN072,9,13
RN073,11,11
RN074,8,14
RN075,11,11
RN076,13,9
RN077,10,12
RN078,9,13
RN079,9,13
RN080,12,10
RN081,8,14
RN082,7,15
RN083,6,16
RN084,9,13
RN085,10,12
RN086,7,15
RN087,11,11
RN088,12,10
RN089,6,16
RN090,9,13
RN091,11,11
RN092,10,12
RN093,15,7
RN094,13,9
RN095,10,12
RN096,11,11
RN097,13,9
RN098,11,11
RN099,13,9
RN100,6,16
RN001,13,19
RN002,17,15
RN003,17,15
RN004,16,16
RN005,16,16
RN006,13,19
RN007,13,19
RN008,19,13
RN009,14,18
RN010,15,17
RN011,21,11
RN012,19,13
RN013,19,13
RN014,11,21
RN015,15,17
RN016,12,20
RN017,16,16
RN018,13,19
RN019,9,23
RN020,19,13
RN021,13,19
RN022,11,21
RN023,17,15
RN024,17,15
RN025,12,20
RN026,15,17
RN027,18,14
RN028,14,18
RN029,16,16
RN030,21,11
RN031,14,18
RN032,17,15
RN033,11,21
RN034,15,17
RN035,14,18
RN036,11,21
RN037,18,14
RN038,17,15
RN039,19,13
RN040,17,15
RN041,18,14
RN042,18,14
RN043,10,22
RN044,17,15
RN045,16,16
RN046,18,14
RN047,15,17
RN048,15,17
RN049,15,17
RN050,11,21
RN051,17,15
RN052,15,17
RN053,18,14
RN054,13,19
RN055,15,17
RN056,13,19
RN057,12,20
RN058,14,18
RN059,11,21
RN060,16,16
RN061,11,21
RN062,12,20
RN063,19,13
RN064,17,15
RN065,21,11
RN066,13,19
RN067,14,18
RN068,15,17
RN069,16,16
RN070,13,19
RN071,14,18
RN072,14,18
RN073,17,15
RN074,13,19
RN075,11,21
RN076,11,21
RN077,14,18
RN078,13,19
RN079,15,17
RN080,12,20
RN081,14,18
RN082,11,21
RN083,15,17
RN084,15,17
RN085,13,19
RN086,14,18
RN087,17,15
RN088,13,19
RN089,16,16
RN090,15,17
RN091,11,21
RN092,13,19
RN093,14,18
RN094,15,17
RN095,15,17
RN096,16,16
RN097,17,15
RN098,19,13
RN099,19,13
RN100,21,11
RN001,11,11
RN002,10,12
RN003,8,14
RN004,12,10
RN005,7,15
RN006,9,13
RN007,12,10
RN008,14,8
RN009,12,10
RN010,15,7
RN011,11,11
RN012,11,11
RN013,7,15
RN014,10,12
RN015,11,11
RN016,11,11
RN017,13,9
RN018,13,9
RN019,13,9
RN020,10,12
RN021,8,14
RN022,11,11
RN023,11,11
RN024,9,13
RN025,8,14
RN026,11,11
RN027,12,10
RN028,9,13
RN029,12,10
RN030,12,10
RN031,13,9
RN032,12,10
RN033,8,14
RN034,14,8
RN035,11,11
RN036,7,15
RN037,12,10
RN038,8,14
RN039,11,11
RN040,8,14
RN041,11,11
RN042,9,13
RN043,10,12
RN044,9,13
RN045,7,15
RN046,10,12
RN047,7,15
RN048,11,11
RN049,8,14
RN050,11,11
RN051,11,11
RN052,12,10
RN053,12,10
RN054,7,15
